-27 09:46:39 | ST0=[1110.72kg, 1110.84kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:33 | ST0=[1110.95kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:34 | ST0=[1110.95kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:35 | ST0=[1110.95kg, 1111.06kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:36 | ST0=[1110.95kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:37 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:38 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:39 | ST0=[1110.95kg, 1111.06kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:40 | ST0=[1110.95kg, 1111.07kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:41 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:42 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:43 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:44 | ST0=[1110.95kg, 1111.07kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:45 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:46 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:47 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:48 | ST0=[1110.95kg, 1111.07kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:49 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:50 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:51 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:52 | ST0=[1110.95kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:50:53 | ST0=[1110.95kg, 1111.07kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:50:54 | ST0=[1110.96kg, 1111.07kg] (200) WE: 4080[RS232-PRINTER]
